Date,close,open,high,low,涨跌幅,volume,Ticker
2023-03-01,145.31,146.83,147.23,145.01,-1.42%,55480000.0,AAPL
2023-03-02,145.91,144.38,146.71,143.9,0.41%,52280000.0,AAPL
2023-03-03,151.03,148.04,151.11,147.33,3.51%,70730000.0,AAPL
2023-03-06,153.83,153.79,156.3,153.46,1.85%,87560000.0,AAPL
2023-03-07,151.6,153.7,154.03,151.13,-1.45%,56180000.0,AAPL
2023-03-08,152.87,152.81,153.47,151.83,0.84%,47200000.0,AAPL
2023-03-09,150.59,153.56,154.54,150.23,-1.49%,53830000.0,AAPL
2023-03-10,148.5,150.21,150.94,147.61,-1.39%,68570000.0,AAPL
2023-03-13,150.47,147.8,153.14,147.7,1.33%,84460000.0,AAPL
2023-03-14,152.59,151.28,153.4,150.1,1.41%,73700000.0,AAPL
2023-03-15,152.99,151.19,153.24,149.92,0.26%,77170000.0,AAPL
2023-03-16,155.85,152.16,156.46,151.64,1.87%,76250000.0,AAPL
2023-03-17,155.0,156.08,156.74,154.28,-0.55%,98940000.0,AAPL
2023-03-20,157.4,155.07,157.82,154.15,1.55%,73640000.0,AAPL
2023-03-21,159.28,157.32,159.4,156.54,1.19%,73940000.0,AAPL
2023-03-22,157.83,159.3,162.14,157.81,-0.91%,75700000.0,AAPL
2023-03-23,158.93,158.83,161.55,157.68,0.70%,67620000.0,AAPL
2023-03-24,160.25,158.86,160.34,157.85,0.83%,59260000.0,AAPL
2023-03-27,158.28,159.94,160.77,157.87,-1.23%,52390000.0,AAPL
2023-03-28,157.65,157.97,158.49,155.98,-0.40%,45990000.0,AAPL
2023-03-29,160.77,159.37,161.05,159.35,1.98%,51310000.0,AAPL
2023-03-30,162.36,161.53,162.47,161.27,0.99%,49500000.0,AAPL
2023-03-31,164.9,162.44,165.0,161.91,1.56%,68750000.0,AAPL
2023-04-03,166.17,164.27,166.29,164.22,0.77%,56980000.0,AAPL
2023-04-04,165.63,166.6,166.84,165.11,-0.32%,46280000.0,AAPL
2023-04-05,163.76,164.74,165.05,161.8,-1.13%,51510000.0,AAPL
2023-04-06,164.66,162.43,164.96,162.0,0.55%,45390000.0,AAPL
2023-04-10,162.03,161.42,162.03,160.08,-1.60%,47720000.0,AAPL
2023-04-11,160.8,162.35,162.36,160.51,-0.76%,47640000.0,AAPL
2023-04-12,160.1,161.22,162.06,159.78,-0.44%,50130000.0,AAPL
2023-04-13,165.56,161.63,165.8,161.42,3.41%,68450000.0,AAPL
2023-04-14,165.21,164.59,166.32,163.82,-0.21%,49390000.0,AAPL
2023-04-17,165.23,165.09,165.39,164.03,0.01%,41520000.0,AAPL
2023-04-18,166.47,166.1,167.41,165.65,0.75%,49920000.0,AAPL
2023-04-19,167.63,165.8,168.16,165.54,0.70%,47720000.0,AAPL
2023-04-20,166.65,166.09,167.87,165.56,-0.58%,52460000.0,AAPL
2023-04-21,165.02,165.05,166.45,164.49,-0.98%,58340000.0,AAPL
2023-04-24,165.33,165.0,165.6,163.89,0.19%,41950000.0,AAPL
2023-04-25,163.77,165.19,166.3,163.73,-0.94%,48710000.0,AAPL
2023-04-26,163.76,163.05,165.28,162.8,-0.01%,45500000.0,AAPL
2023-04-27,168.41,165.19,168.56,165.19,2.84%,64900000.00000001,AAPL
2023-04-28,169.68,168.49,169.85,167.88,0.75%,55280000.0,AAPL
2023-05-01,169.59,169.28,170.45,168.64,-0.05%,52470000.0,AAPL
2023-05-02,168.54,170.09,170.35,167.54,-0.62%,48430000.0,AAPL
2023-05-03,167.45,169.5,170.92,167.16,-0.65%,65140000.0,AAPL
2023-05-04,165.79,164.89,167.04,164.31,-0.99%,81240000.0,AAPL
2023-05-05,173.57,170.98,174.3,170.76,4.69%,113450000.0,AAPL
2023-05-08,173.5,172.48,173.85,172.11,-0.04%,55960000.0,AAPL
2023-05-09,171.77,173.05,173.54,171.6,-1.00%,45330000.0,AAPL
2023-05-10,173.55,173.02,174.03,171.9,1.04%,53720000.0,AAPL
2023-05-11,173.75,173.85,174.59,172.17,0.11%,49510000.0,AAPL
2023-05-12,172.57,173.62,174.06,171.0,-0.68%,45530000.0,AAPL
2023-05-15,172.07,173.16,173.21,171.47,-0.29%,37270000.0,AAPL
2023-05-16,172.07,171.99,173.14,171.8,0.00%,42110000.0,AAPL
2023-05-17,172.69,171.71,172.93,170.42,0.36%,57950000.0,AAPL
2023-05-18,175.05,173.0,175.24,172.58,1.37%,65500000.0,AAPL
2023-05-19,175.16,176.39,176.39,174.94,0.06%,55810000.0,AAPL
2023-05-22,174.2,173.98,174.71,173.45,-0.55%,43570000.0,AAPL
2023-05-23,171.56,173.13,173.38,171.27,-1.52%,50750000.0,AAPL
2023-05-24,171.84,171.09,172.42,170.52,0.16%,45140000.0,AAPL
2023-05-25,172.99,172.41,173.9,171.69,0.67%,56060000.0,AAPL
2023-05-26,175.43,173.32,175.77,173.11,1.41%,54830000.0,AAPL
2023-05-30,177.3,176.96,178.99,176.57,1.07%,55960000.0,AAPL
2023-05-31,177.25,177.32,179.35,176.76,-0.03%,99630000.0,AAPL
2023-06-01,180.09,177.7,180.12,176.93,1.60%,68900000.0,AAPL
2023-06-02,180.95,181.03,181.78,179.26,0.48%,62000000.0,AAPL
2023-06-05,179.58,182.63,184.95,178.04,-0.76%,121950000.0,AAPL
2023-06-06,179.21,179.96,180.12,177.43,-0.21%,64849999.99999999,AAPL
2023-06-07,177.82,178.44,181.21,177.32,-0.78%,61940000.0,AAPL
2023-06-08,180.57,177.9,180.84,177.46,1.55%,50210000.0,AAPL
2023-06-09,180.96,181.5,182.23,180.63,0.22%,48900000.0,AAPL
2023-06-12,183.79,181.27,183.89,180.97,1.56%,54750000.0,AAPL
2023-06-13,183.31,182.8,184.15,182.44,-0.26%,54930000.0,AAPL
2023-06-14,183.95,183.37,184.39,182.02,0.35%,57460000.0,AAPL
2023-06-15,186.01,183.96,186.52,183.78,1.12%,65430000.00000001,AAPL
2023-06-16,184.92,186.73,186.99,184.27,-0.59%,101260000.0,AAPL
2023-06-20,185.01,184.41,186.1,184.41,0.05%,49800000.0,AAPL
2023-06-21,183.96,184.9,185.41,182.59,-0.57%,49520000.0,AAPL
2023-06-22,187.0,183.74,187.04,183.67,1.65%,51250000.0,AAPL
2023-06-23,186.68,185.55,187.56,185.01,-0.17%,53120000.0,AAPL
2023-06-26,185.27,186.83,188.05,185.23,-0.76%,48090000.0,AAPL
2023-06-27,188.06,185.89,188.39,185.67,1.51%,50730000.0,AAPL
2023-06-28,189.25,187.93,189.9,187.6,0.63%,51220000.0,AAPL
2023-06-29,189.59,189.08,190.07,188.94,0.18%,46350000.0,AAPL
2023-06-30,193.97,191.63,194.48,191.26,2.31%,85210000.0,AAPL
2023-07-03,192.46,193.78,193.88,191.76,-0.78%,31460000.0,AAPL
2023-07-05,191.33,191.57,192.98,190.62,-0.59%,46920000.0,AAPL
2023-07-06,191.81,189.84,192.02,189.2,0.25%,45160000.0,AAPL
2023-07-07,190.68,191.41,192.67,190.24,-0.59%,46820000.0,AAPL
2023-07-10,188.61,189.26,189.99,187.04,-1.09%,59920000.0,AAPL
2023-07-11,188.08,189.16,189.3,186.6,-0.28%,46640000.0,AAPL
2023-07-12,189.77,189.68,191.7,188.47,0.90%,60750000.0,AAPL
2023-07-13,190.54,190.5,191.19,189.78,0.41%,41340000.0,AAPL
2023-07-14,190.69,190.23,191.18,189.63,0.08%,41620000.0,AAPL
2023-07-17,193.99,191.9,194.32,191.81,1.73%,50520000.0,AAPL
2023-07-18,193.73,193.35,194.33,192.41,-0.13%,48350000.0,AAPL
2023-07-19,195.1,193.1,198.23,192.65,0.71%,80510000.0,AAPL
2023-07-20,193.13,195.09,196.47,192.49,-1.01%,59580000.0,AAPL
2023-07-21,191.94,194.1,194.97,191.23,-0.62%,71950000.0,AAPL
2023-07-24,192.75,193.41,194.91,192.25,0.42%,45510000.0,AAPL
2023-07-25,193.62,193.33,194.44,192.91,0.45%,37280000.0,AAPL
2023-07-26,194.5,193.67,195.64,193.32,0.45%,47470000.0,AAPL
2023-07-27,193.22,196.02,197.2,192.55,-0.66%,47460000.0,AAPL
2023-07-28,195.83,194.67,196.63,194.14,1.35%,48290000.0,AAPL
2023-07-31,196.45,196.06,196.49,195.26,0.32%,38820000.0,AAPL
2023-08-01,195.6,196.24,196.73,195.28,-0.43%,35280000.0,AAPL
2023-08-02,192.58,195.04,195.18,191.85,-1.55%,50390000.0,AAPL
2023-08-03,191.17,191.57,192.37,190.69,-0.73%,62240000.0,AAPL
2023-08-04,181.99,185.52,187.38,181.92,-4.80%,115960000.0,AAPL
2023-08-07,178.85,182.13,183.13,177.35,-1.73%,97580000.0,AAPL
2023-08-08,179.8,179.69,180.27,177.58,0.53%,67820000.0,AAPL
2023-08-09,178.19,180.87,180.93,177.01,-0.90%,60380000.0,AAPL
2023-08-10,177.97,179.48,180.75,177.6,-0.12%,54690000.0,AAPL
2023-08-11,177.79,177.32,178.62,176.55,-0.10%,52040000.0,AAPL
2023-08-14,179.46,177.97,179.69,177.3,0.94%,43680000.0,AAPL
2023-08-15,177.45,178.88,179.48,177.05,-1.12%,43620000.0,AAPL
2023-08-16,176.57,177.13,178.54,176.5,-0.50%,46960000.0,AAPL
2023-08-17,174.0,177.14,177.51,173.48,-1.46%,66060000.0,AAPL
2023-08-18,174.49,172.3,175.1,171.96,0.28%,61170000.0,AAPL
2023-08-21,175.84,175.07,176.13,173.74,0.77%,46310000.0,AAPL
2023-08-22,177.23,177.06,177.68,176.25,0.79%,42080000.0,AAPL
2023-08-23,181.12,178.52,181.55,178.32,2.19%,52720000.0,AAPL
2023-08-24,176.38,180.67,181.1,176.01,-2.62%,54950000.0,AAPL
2023-08-25,178.61,177.38,179.15,175.82,1.26%,51450000.0,AAPL
2023-08-28,180.19,180.09,180.59,178.54,0.88%,43820000.0,AAPL
2023-08-29,184.12,179.7,184.9,179.5,2.18%,53000000.0,AAPL
2023-08-30,187.65,184.94,187.85,184.74,1.92%,60810000.0,AAPL
2023-08-31,187.87,187.84,189.12,187.48,0.12%,60790000.0,AAPL
2023-09-01,189.46,189.49,189.92,188.28,0.85%,45770000.0,AAPL
2023-09-05,189.7,188.28,189.98,187.61,0.13%,45280000.0,AAPL
2023-09-06,182.91,188.4,188.85,181.47,-3.58%,81760000.0,AAPL
