Date,close,open,high,low,change_pct,volume,Ticker
2023-03-01,145.31,146.83,147.23,145.01,-0.014199999999999999,55480000.0,AAPL
2023-03-02,145.91,144.38,146.71,143.9,0.0040999999999999995,52280000.0,AAPL
2023-03-03,151.03,148.04,151.11,147.33,0.0351,70730000.0,AAPL
2023-03-06,153.83,153.79,156.3,153.46,0.018500000000000003,87560000.0,AAPL
2023-03-07,151.6,153.7,154.03,151.13,-0.014499999999999999,56180000.0,AAPL
2023-03-08,152.87,152.81,153.47,151.83,0.0084,47200000.0,AAPL
2023-03-09,150.59,153.56,154.54,150.23,-0.0149,53830000.0,AAPL
2023-03-10,148.5,150.21,150.94,147.61,-0.0139,68570000.0,AAPL
2023-03-13,150.47,147.8,153.14,147.7,0.013300000000000001,84460000.0,AAPL
2023-03-14,152.59,151.28,153.4,150.1,0.0141,73700000.0,AAPL
2023-03-15,152.99,151.19,153.24,149.92,0.0026,77170000.0,AAPL
2023-03-16,155.85,152.16,156.46,151.64,0.0187,76250000.0,AAPL
2023-03-17,155.0,156.08,156.74,154.28,-0.0055000000000000005,98940000.0,AAPL
2023-03-20,157.4,155.07,157.82,154.15,0.0155,73640000.0,AAPL
2023-03-21,159.28,157.32,159.4,156.54,0.011899999999999999,73940000.0,AAPL
2023-03-22,157.83,159.3,162.14,157.81,-0.0091,75700000.0,AAPL
2023-03-23,158.93,158.83,161.55,157.68,0.006999999999999999,67620000.0,AAPL
2023-03-24,160.25,158.86,160.34,157.85,0.0083,59260000.0,AAPL
2023-03-27,158.28,159.94,160.77,157.87,-0.0123,52390000.0,AAPL
2023-03-28,157.65,157.97,158.49,155.98,-0.004,45990000.0,AAPL
2023-03-29,160.77,159.37,161.05,159.35,0.019799999999999998,51310000.0,AAPL
2023-03-30,162.36,161.53,162.47,161.27,0.009899999999999999,49500000.0,AAPL
2023-03-31,164.9,162.44,165.0,161.91,0.015600000000000001,68750000.0,AAPL
2023-04-03,166.17,164.27,166.29,164.22,0.0077,56980000.0,AAPL
2023-04-04,165.63,166.6,166.84,165.11,-0.0032,46280000.0,AAPL
2023-04-05,163.76,164.74,165.05,161.8,-0.0113,51510000.0,AAPL
2023-04-06,164.66,162.43,164.96,162.0,0.0055000000000000005,45390000.0,AAPL
2023-04-10,162.03,161.42,162.03,160.08,-0.016,47720000.0,AAPL
2023-04-11,160.8,162.35,162.36,160.51,-0.0076,47640000.0,AAPL
2023-04-12,160.1,161.22,162.06,159.78,-0.0044,50130000.0,AAPL
2023-04-13,165.56,161.63,165.8,161.42,0.0341,68450000.0,AAPL
2023-04-14,165.21,164.59,166.32,163.82,-0.0021,49390000.0,AAPL
2023-04-17,165.23,165.09,165.39,164.03,0.0001,41520000.0,AAPL
2023-04-18,166.47,166.1,167.41,165.65,0.0075,49920000.0,AAPL
2023-04-19,167.63,165.8,168.16,165.54,0.006999999999999999,47720000.0,AAPL
2023-04-20,166.65,166.09,167.87,165.56,-0.0058,52460000.0,AAPL
2023-04-21,165.02,165.05,166.45,164.49,-0.0098,58340000.0,AAPL
2023-04-24,165.33,165.0,165.6,163.89,0.0019,41950000.0,AAPL
2023-04-25,163.77,165.19,166.3,163.73,-0.009399999999999999,48710000.0,AAPL
2023-04-26,163.76,163.05,165.28,162.8,-0.0001,45500000.0,AAPL
2023-04-27,168.41,165.19,168.56,165.19,0.028399999999999998,64900000.00000001,AAPL
2023-04-28,169.68,168.49,169.85,167.88,0.0075,55280000.0,AAPL
2023-05-01,169.59,169.28,170.45,168.64,-0.0005,52470000.0,AAPL
2023-05-02,168.54,170.09,170.35,167.54,-0.0062,48430000.0,AAPL
2023-05-03,167.45,169.5,170.92,167.16,-0.006500000000000001,65140000.0,AAPL
2023-05-04,165.79,164.89,167.04,164.31,-0.009899999999999999,81240000.0,AAPL
2023-05-05,173.57,170.98,174.3,170.76,0.046900000000000004,113450000.0,AAPL
2023-05-08,173.5,172.48,173.85,172.11,-0.0004,55960000.0,AAPL
2023-05-09,171.77,173.05,173.54,171.6,-0.01,45330000.0,AAPL
2023-05-10,173.55,173.02,174.03,171.9,0.0104,53720000.0,AAPL
2023-05-11,173.75,173.85,174.59,172.17,0.0011,49510000.0,AAPL
2023-05-12,172.57,173.62,174.06,171.0,-0.0068000000000000005,45530000.0,AAPL
2023-05-15,172.07,173.16,173.21,171.47,-0.0029,37270000.0,AAPL
2023-05-16,172.07,171.99,173.14,171.8,0.0,42110000.0,AAPL
2023-05-17,172.69,171.71,172.93,170.42,0.0036,57950000.0,AAPL
2023-05-18,175.05,173.0,175.24,172.58,0.0137,65500000.0,AAPL
2023-05-19,175.16,176.39,176.39,174.94,0.0006,55810000.0,AAPL
2023-05-22,174.2,173.98,174.71,173.45,-0.0055000000000000005,43570000.0,AAPL
2023-05-23,171.56,173.13,173.38,171.27,-0.0152,50750000.0,AAPL
2023-05-24,171.84,171.09,172.42,170.52,0.0016,45140000.0,AAPL
2023-05-25,172.99,172.41,173.9,171.69,0.0067,56060000.0,AAPL
2023-05-26,175.43,173.32,175.77,173.11,0.0141,54830000.0,AAPL
2023-05-30,177.3,176.96,178.99,176.57,0.010700000000000001,55960000.0,AAPL
2023-05-31,177.25,177.32,179.35,176.76,-0.0003,99630000.0,AAPL
2023-06-01,180.09,177.7,180.12,176.93,0.016,68900000.0,AAPL
2023-06-02,180.95,181.03,181.78,179.26,0.0048,62000000.0,AAPL
2023-06-05,179.58,182.63,184.95,178.04,-0.0076,121950000.0,AAPL
2023-06-06,179.21,179.96,180.12,177.43,-0.0021,64849999.99999999,AAPL
2023-06-07,177.82,178.44,181.21,177.32,-0.0078000000000000005,61940000.0,AAPL
2023-06-08,180.57,177.9,180.84,177.46,0.0155,50210000.0,AAPL
2023-06-09,180.96,181.5,182.23,180.63,0.0022,48900000.0,AAPL
2023-06-12,183.79,181.27,183.89,180.97,0.015600000000000001,54750000.0,AAPL
2023-06-13,183.31,182.8,184.15,182.44,-0.0026,54930000.0,AAPL
2023-06-14,183.95,183.37,184.39,182.02,0.0034999999999999996,57460000.0,AAPL
2023-06-15,186.01,183.96,186.52,183.78,0.011200000000000002,65430000.00000001,AAPL
2023-06-16,184.92,186.73,186.99,184.27,-0.0059,101260000.0,AAPL
2023-06-20,185.01,184.41,186.1,184.41,0.0005,49800000.0,AAPL
2023-06-21,183.96,184.9,185.41,182.59,-0.005699999999999999,49520000.0,AAPL
2023-06-22,187.0,183.74,187.04,183.67,0.0165,51250000.0,AAPL
2023-06-23,186.68,185.55,187.56,185.01,-0.0017000000000000001,53120000.0,AAPL
2023-06-26,185.27,186.83,188.05,185.23,-0.0076,48090000.0,AAPL
2023-06-27,188.06,185.89,188.39,185.67,0.0151,50730000.0,AAPL
2023-06-28,189.25,187.93,189.9,187.6,0.0063,51220000.0,AAPL
2023-06-29,189.59,189.08,190.07,188.94,0.0018,46350000.0,AAPL
