Ticker,Window_Date,AR_RMSE,AR_R2,Full_RMSE,Full_R2,coef_Vol_lag1,coef_Overreaction,coef_Herding,coef_LossAversion,coef_Disposition,coef_Volume_Ratio,Incr_R2,Incr_RMSE
AAPL,2024-06-05,0.030739646313735432,0.8091587646198573,0.02513810792781428,0.8723738525547108,0.9440515540160712,0.016316723200734864,0.005037139690099942,0.016965201864539214,0.001084444705909252,0.01875880644749849,0.06321508793485353,0.005601538385921152
AAPL,2024-07-05,0.01933333922553837,0.7395931805205824,0.018493596793023166,0.7617234078172767,0.951075235162175,-0.07439010134278023,-0.0009906721946519315,0.017019522030571815,0.0017562971137059897,0.020463853424676215,0.022130227296694227,0.0008397424325152052
AAPL,2024-08-02,0.013643029607839061,0.40660227822347683,0.013411867822653531,0.4265404880830814,0.9424306806186529,-0.08209510153792107,-0.002507248720033145,0.01840149215161105,0.001995417250340509,0.020627524296045474,0.019938209859604594,0.00023116178518553
AAPL,2024-08-30,0.017327473647712834,0.7040429073563732,0.02340492890447632,0.4600259230063811,0.9505887152122549,-0.11278213747437921,-0.0022302197353849824,0.013804126704606364,0.0015118455902320828,0.01919545120145588,-0.24401698434999208,-0.0060774552567634844
AAPL,2024-09-30,0.010991334127048122,0.6258412947156073,0.01196240573082493,0.5568078184224187,0.9436571842896635,-0.212260134633726,0.0001660611894246239,0.017089368237362387,0.002578279164150162,0.012635773856390994,-0.06903347629318868,-0.0009710716037768085
AAPL,2024-10-28,0.011829121731198697,0.0510106807074715,0.0113744053018866,0.12256749093194408,0.9380130304069768,-0.22735714803182325,-0.0025697032171107257,0.021366184307572745,0.002611568816382748,0.011868127711087566,0.07155681022447258,0.00045471642931209713
AAPL,2024-11-25,0.012851039263129376,0.6117700201194147,0.015594220920088121,0.42833719827382843,0.9379960266330462,-0.23332311871550648,-0.002309023281589667,0.022479663359769666,0.0024943080914204816,0.011778927831278267,-0.1834328218455863,-0.002743181656958745
AAPL,2024-12-24,0.011409273109907988,0.907617170790102,0.01173833539885354,0.9022113760812741,0.9493628775631819,-0.25780855363195687,0.000701416528362983,0.020302831181429754,0.0017346393869398925,0.011240280942615302,-0.005405794708827849,-0.00032906228894555127
AAPL,2025-01-27,0.01608986746439697,0.5191184624515353,0.013576929331554067,0.6575980060792783,0.9495575478304215,-0.2398034519243369,0.0006053434780083373,0.01790878899651674,0.0013373449984402483,0.010845976143056588,0.13847954362774306,0.0025129381328429026
AAPL,2025-02-25,0.015406686477474573,0.6875833021634077,0.0150492940136201,0.7019095917014913,0.9543969130458384,-0.2924865313133061,0.0014531744175442004,0.013143707118057962,0.0010544479900019726,0.010843713239196353,0.01432628953808357,0.0003573924638544737
AAPL,2025-03-25,0.07408235744917716,0.8859330025997729,0.06983192338987895,0.8986465748793938,0.9600063957855771,-0.31033939460835347,0.004151779822118212,0.012715890728347494,0.0009652594862994365,0.011490217531954706,0.012713572279620888,0.004250434059298203
AAPL,2025-04-23,0.07201502223330186,0.8849691951606792,0.06968035291159996,0.8923067103311715,1.0202967886990404,0.0014323262349974775,0.008733608286195509,0.0024666057819091036,0.0030318758864133566,0.021120280695738052,0.007337515170492304,0.0023346693217018988
AAPL,2025-05-21,0.02422861063299588,0.7942997451749675,0.026495831337061758,0.7540012447831497,0.9877691146663179,0.031027102722090694,0.01988688714573168,0.005971603810616968,0.003135532456617363,0.019896495609539846,-0.040298500391817815,-0.002267220704065879
AAPL,2025-06-20,0.011151607832215868,0.5455061372590301,0.012075983242879479,0.4670357849341391,0.9877050354461618,0.06639041357996722,0.014510646916435058,0.00424074261145817,0.002654987663622775,0.018149891835513285,-0.07847035232489097,-0.0009243754106636106
AAPL,2025-07-21,0.024720802784680813,0.8714728437049817,0.01919921138142253,0.922475934610427,0.990609978566055,0.05568485312890345,0.015669606201614197,0.0033594901959624257,0.002066637859392696,0.019146094306171223,0.0510030909054453,0.005521591403258284
