Date,close,open,high,low,涨跌幅,volume,Ticker,Return,Volatility,Volume_MA20,Volume_Ratio,Overreaction,Herding,LossAversion,Disposition,Vol_lag1
2023-04-17,165.23,165.09,165.39,164.03,0.01%,41520000.0,AAPL,0.00012105804733364423,0.19934960791641723,56155500.0,0.7393754841466997,-0.009212138052950439,,0.0,0.7393754841466997,0.20149025359357123
2023-04-18,166.47,166.1,167.41,165.65,0.75%,49920000.0,AAPL,0.007504690431519689,0.1948291329941024,54969500.0,0.9081399685280019,0.0,,0.0,0.9081399685280019,0.19934960791641723
2023-04-19,167.63,165.8,168.16,165.54,0.70%,47720000.0,AAPL,0.006968222502552912,0.1925447173422203,53658500.0,0.8893278790871902,0.0,,0.0,0.8893278790871902,0.1948291329941024
2023-04-20,166.65,166.09,167.87,165.56,-0.58%,52460000.0,AAPL,-0.005846208912485773,0.19024608118068348,52496500.0,0.9993047155524654,0.0,,0.0,-0.9993047155524654,0.1925447173422203
2023-04-21,165.02,165.05,166.45,164.49,-0.98%,58340000.0,AAPL,-0.009780978097809756,0.19460700980342507,52032500.0,1.121222312977466,0.0,,,-1.121222312977466,0.19024608118068348
2023-04-24,165.33,165.0,165.6,163.89,0.19%,41950000.0,AAPL,0.0018785601745243685,0.1931561197016583,51167000.0,0.819864365704458,0.0,,0.0,0.819864365704458,0.19460700980342507
2023-04-25,163.77,165.19,166.3,163.73,-0.94%,48710000.0,AAPL,-0.009435674106332836,0.19067422725383054,50983000.0,0.9554165113861484,0.0,,0.0,-0.9554165113861484,0.1931561197016583
2023-04-26,163.76,163.05,165.28,162.8,-0.01%,45500000.0,AAPL,-6.106124442828431e-05,0.18960998316078848,50958500.0,0.8928834247475887,0.0,,,-0.8928834247475887,0.19067422725383054
2023-04-27,168.41,165.19,168.56,165.19,2.84%,64900000.00000001,AAPL,0.028395212506106438,0.2023667218032878,51638000.0,1.2568263681784733,0.0,,0.0,1.2568263681784733,0.18960998316078848
2023-04-28,169.68,168.49,169.85,167.88,0.75%,55280000.0,AAPL,0.007541119885992487,0.2013831483357905,51927000.0,1.064571417566969,0.0,,0.0,1.064571417566969,0.2023667218032878
2023-05-01,169.59,169.28,170.45,168.64,-0.05%,52470000.0,AAPL,-0.0005304101838755626,0.19524055510082383,51113000.0,1.0265490188406081,0.0,,0.0,-1.0265490188406081,0.2013831483357905
2023-05-02,168.54,170.09,170.35,167.54,-0.62%,48430000.0,AAPL,-0.0061914027949762085,0.1955911481279409,50685500.0,0.9555000937151651,0.0,,,-0.9555000937151651,0.19524055510082383
2023-05-03,167.45,169.5,170.92,167.16,-0.65%,65140000.0,AAPL,-0.006467307464103511,0.19680003165349302,51628500.0,1.261706228149181,0.0,,,-1.261706228149181,0.1955911481279409
2023-05-04,165.79,164.89,167.04,164.31,-0.99%,81240000.0,AAPL,-0.009913406987160367,0.19575290537178242,53115000.0,1.5295114374470489,0.0,,,-1.5295114374470489,0.19680003165349302
2023-05-05,173.57,170.98,174.3,170.76,4.69%,113450000.0,AAPL,0.04692683515290419,0.2554051700944953,56518000.0,2.007325099968152,-0.01220337755512313,,0.0,2.007325099968152,0.19575290537178242
2023-05-08,173.5,172.48,173.85,172.11,-0.04%,55960000.0,AAPL,-0.0004032955003744343,0.2460693145397419,56930000.0,0.9829615317056034,-0.01220337755512313,,0.0,-0.9829615317056034,0.2554051700944953
2023-05-09,171.77,173.05,173.54,171.6,-1.00%,45330000.0,AAPL,-0.009971181556195918,0.24763696037025512,56814500.0,0.7978597013086448,-0.01220337755512313,,,-0.7978597013086448,0.2460693145397419
2023-05-10,173.55,173.02,174.03,171.9,1.04%,53720000.0,AAPL,0.010362694300518172,0.2470200590792593,56994000.0,0.9425553567042145,0.0,,0.0,0.9425553567042145,0.24763696037025512
2023-05-11,173.75,173.85,174.59,172.17,0.11%,49510000.0,AAPL,0.0011524056467875354,0.2202767169694211,56047000.0,0.8833657466055275,0.0,,0.0,0.8833657466055275,0.2470200590792593
2023-05-12,172.57,173.62,174.06,171.0,-0.68%,45530000.0,AAPL,-0.0067913669064748605,0.22219541946703059,55854000.0,0.8151609553478713,0.0,,0.0,-0.8151609553478713,0.2202767169694211
2023-05-15,172.07,173.16,173.21,171.47,-0.29%,37270000.0,AAPL,-0.0028973749782696956,0.2228405208978648,55641500.0,0.669823782608305,0.0,,,-0.669823782608305,0.22219541946703059
2023-05-16,172.07,171.99,173.14,171.8,0.00%,42110000.0,AAPL,0.0,0.22202701058234395,55251000.0,0.7621581509836926,0.0,,0.0,-0.7621581509836926,0.2228405208978648
2023-05-17,172.69,171.71,172.93,170.42,0.36%,57950000.0,AAPL,0.003603184750392341,0.22129751830074448,55762500.0,1.0392288724501233,0.0,,0.0,1.0392288724501233,0.22202701058234395
2023-05-18,175.05,173.0,175.24,172.58,1.37%,65500000.0,AAPL,0.013666106896751407,0.2234431306444966,56414500.0,1.1610490210850049,0.0,,0.0,1.1610490210850049,0.22129751830074448
2023-05-19,175.16,176.39,176.39,174.94,0.06%,55810000.0,AAPL,0.0006283918880318762,0.21882894456840188,56288000.0,0.9915079590676521,0.0,,0.0,0.9915079590676521,0.2234431306444966
2023-05-22,174.2,173.98,174.71,173.45,-0.55%,43570000.0,AAPL,-0.005480703356930849,0.22091172793041874,56369000.0,0.772942574819493,0.0,,0.0,-0.772942574819493,0.21882894456840188
2023-05-23,171.56,173.13,173.38,171.27,-1.52%,50750000.0,AAPL,-0.015154994259471755,0.22595638045088381,56471000.0,0.8986913637088063,0.0,,,-0.8986913637088063,0.22091172793041874
2023-05-24,171.84,171.09,172.42,170.52,0.16%,45140000.0,AAPL,0.0016320820704127659,0.2257896033522163,56453000.0,0.7996032097497033,0.0,,0.0,0.7996032097497033,0.22595638045088381
2023-05-25,172.99,172.41,173.9,171.69,0.67%,56060000.0,AAPL,0.006692271880819334,0.20496581640622447,56011000.0,1.0008748281587545,0.0,,0.0,1.0008748281587545,0.2257896033522163
2023-05-26,175.43,173.32,175.77,173.11,1.41%,54830000.0,AAPL,0.014104861552690862,0.20885295288427716,55988500.0,0.9793082508015039,0.0,,0.0,0.9793082508015039,0.20496581640622447
2023-05-30,177.3,176.96,178.99,176.57,1.07%,55960000.0,AAPL,0.010659522316593506,0.21099965606183643,56163000.0,0.9963855207164859,0.0,,0.0,0.9963855207164859,0.20885295288427716
