,close,returns,volatility,volume_ratio
count,100.0,99.0,80.0,81.0
mean,266.7778,0.00038874235745294184,0.18897748671937967,0.9996708876772681
std,9.587520358583998,0.014073455267098063,0.06995704997181118,0.3678986795953393
min,245.27,-0.04998185117967324,0.09599826048245971,0.40651320826385
25%,259.555,-0.005711048713305911,0.14820068352604904,0.8032711645896857
50%,269.24,0.0007068189427477112,0.16015178884683065,0.937236341686028
75%,273.7,0.005909871266944089,0.24506944496900895,1.1584884218638678
max,286.19,0.040581162324649256,0.343782343882562,2.98645485766956
