,count,mean,std,min,25%,50%,75%,max
overreaction,100,-0.0026801293387425317,0.006058177876690858,-0.0255935670156572,0.0,0.0,0.0,0.0
herding,95,0.15,0.2063507818286384,-0.2,0.0,0.1,0.325,0.5
loss_aversion,12,1.8617881340865832,5.0231939420085,0.0,0.0,0.0,0.0,22.631247685329907
disposition,100,0.03158891527451451,1.164737615179661,-1.7165167017212009,-0.9750058871660761,-0.4557180435167066,1.0054912757915144,2.9818898758020023
