,loss_aversion,returns,volatility
2026-02-13,22.631247685329907,-0.0227333511634127,0.3273928006004431
2026-02-27,20.548632759582016,-0.0321304268180985,0.3398175941443388
2026-02-10,20.53126028220918,-0.003422911659748,0.256390798332297
2026-01-20,14.514331739143504,-0.0345556294759911,0.1522734569257011
2026-01-08,12.377102830696815,-0.0049552491069025,0.1140754205763935
2026-01-07,11.484387595201763,-0.0077374599786553,0.113946617949104
2026-01-15,11.35676840300915,-0.0067318048930604,0.1052852618689237
2026-01-16,11.270781864172411,-0.0103791487548893,0.1055488757664833
2026-01-06,11.208259613450698,-0.0183342063907804,0.1126993455767861
2026-01-05,10.125749172957851,-0.0138371277812626,0.0984501913098327
2025-12-31,9.91657222744419,-0.0044675552951515,0.0974687781869451
2026-01-02,9.734049760508436,-0.0031266092841905,0.0959982604824597
