,open,high,low,close,volume,returns,log_returns,volatility,high_low_ratio,gap,volume_ma,volume_ratio,volume_ma50,volume_trend
2025-12-15,280.15,280.15,272.84,274.11,50409078.0,-0.014984907287623805,-0.01509831537680152,0.1625666582168587,0.026668125934843682,0.006719850510277435,43074016.35,1.17028970761395,45851257.26,-0.06057065991127841
2025-12-16,272.82,275.5,271.79,274.61,37648628.0,0.001824085221261429,0.0018224235981354902,0.14709229157699327,0.013510068824878844,-0.004706139870854841,42705534.75,0.8815866191676712,45710947.46,-0.06574820424866334
2025-12-17,275.01,276.16,271.64,271.84,50138743.0,-0.010087032518845018,-0.01013825135315272,0.15257935435995656,0.016627427898764122,0.0014566111940569435,42928608.0,1.167956412656101,46074606.8,-0.06828053495184683
2025-12-18,273.605,273.63,266.95,272.19,51630721.0,0.0012875220718069347,0.0012866939260253387,0.15208688929148126,0.02454168044380766,0.006492789876398041,43488919.45,1.1872155402564273,46377283.32,-0.062279712463330195
2025-12-19,272.145,274.6,269.9,273.67,144632048.0,0.0054373783019214805,0.00542264912845835,0.14880965748742012,0.01717396864837229,-0.00016532569161253506,48429343.45,2.98645485766956,48503484.04,-0.001528562153161106
2025-12-22,272.86,273.88,270.505,270.97,36571827.0,-0.00986589688310735,-0.00991488733323548,0.13722119700715193,0.012455253349079232,-0.002959769064932226,47306393.2,0.7730842392778319,47994938.62,-0.014346208991984577
2025-12-23,270.84,272.5,269.56,272.36,29641999.0,0.005129719157102253,0.005116606969895846,0.12468496247544766,0.010794536642678798,-0.0004797579067795412,45509203.35,0.6513407578689245,47824919.76,-0.04842070664458964
2025-12-24,272.34,275.43,272.195,273.81,17910574.0,0.005323836099280221,0.005309714582129585,0.1255134440613009,0.011814762061283422,-7.343222205918142e-05,44059021.05,0.40651320826385,47473571.52,-0.07192529149742821
2025-12-26,274.16,275.37,272.86,273.4,21521802.0,-0.0014973887001936692,-0.0014985109070465431,0.12515923814144583,0.009180687637161636,0.0012782586465067847,43463540.0,0.49516910035399786,47226135.34,-0.0796718874604403
2025-12-29,272.69,274.36,272.35,273.76,23715213.0,0.0013167520117045584,0.0013158858540342575,0.1237930792593828,0.007342197545295116,-0.0025969275786392816,43642519.65,0.5433969713524549,46904900.12,-0.06955308425460083
2025-12-30,272.81,274.08,272.28,273.08,22139617.0,-0.002483927527761609,-0.0024870175938038587,0.10815713705483507,0.006591475025633556,-0.00347019286966682,42420114.4,0.5219131846565694,46364753.24,-0.08507839607343937
2025-12-31,273.06,273.68,271.75,271.86,27293639.0,-0.004467555295151526,-0.004477564642977647,0.09746877818694513,0.007099242257044091,-7.323861139586133e-05,41101319.75,0.6640574844315066,45100965.44,-0.08868204152571679
2026-01-02,272.255,277.84,269.0,271.01,37838054.0,-0.003126609284190507,-0.003131507339199224,0.09599826048245971,0.032618722556363146,0.001452953726182527,40816288.1,0.9270331958481055,44923807.56,-0.09143302144445387
2026-01-05,270.64,271.51,266.14,267.26,45647190.0,-0.01383712778126267,-0.013933753214987847,0.09845019130983275,0.02009279353438601,-0.001365263274417935,40899194.8,1.116090187672839,44936446.28,-0.08984358609142784
2026-01-06,267.0,267.55,262.12,262.36,52352090.0,-0.018334206390780428,-0.01850436092738003,0.11269934557678615,0.020696752553742974,-0.0009728354411434218,41153507.05,1.2721173419410923,45328389.26,-0.09210303472407133
2026-01-07,263.2,263.68,259.81,260.33,48309804.0,-0.007737459978655381,-0.007767549433242862,0.11394661794910407,0.01486574732070835,0.0032017075773745044,41748681.4,1.157157600670952,45529511.0,-0.08304129600689103
2026-01-08,257.02,259.29,255.7,259.04,50419337.0,-0.004955249106902593,-0.004967567062966796,0.11407542057639353,0.013858863495985297,-0.012714631429339695,42681977.75,1.1812793047060712,45640134.7,-0.06481481637695519
