,close,returns,overreaction
2026-02-18,264.35,0.0017811126269517,-0.0035718670043839
2026-02-19,260.58,-0.0142613958766787,-0.0035718670043839
2026-02-05,275.91,-0.0020977250533472,-0.0073174822923946
2026-02-06,278.12,0.0080098582871226,-0.0073174822923946
2026-01-26,255.41,0.0297129495242702,-0.0132207977697017
2026-01-27,258.27,0.0111976821580985,-0.0132207977697017
2026-01-28,256.44,-0.0070856080845626,-0.0132207977697017
2026-01-06,262.36,-0.0183342063907804,-0.0133029313835661
2026-01-07,260.33,-0.0077374599786553,-0.0133029313835661
2026-01-08,259.04,-0.0049552491069025,-0.0133029313835661
