,close,returns,volatility,volume_ratio,overreaction,herding,loss_aversion,disposition
count,100.0,99.0,80.0,81.0,98.0,32.0,89.0,51.0
mean,266.7778,0.00038874235745293826,0.18897748671937964,0.9996708876772681,-0.0026801293387425317,0.15,1.8617881340865832,0.03158891527451451
std,9.587520358583998,0.014073455267098032,0.06995704997181118,0.3678986795953393,0.006058177876690858,0.2063507818286384,5.0231939420085,1.164737615179661
min,245.27,-0.0499818511796732,0.0959982604824597,0.40651320826385,-0.0255935670156572,-0.2,0.0,-1.7165167017212009
25%,259.555,-0.00571104871330585,0.148200683526049,0.8032711645896857,0.0,0.0,0.0,-0.9750058871660761
50%,269.24,0.0007068189427477,0.1601517888468306,0.937236341686028,0.0,0.1,0.0,-0.4557180435167066
75%,273.7,0.0059098712669440005,0.24506944496900893,1.1584884218638678,0.0,0.325,0.0,1.0054912757915144
max,286.19,0.0405811623246492,0.343782343882562,2.98645485766956,0.0,0.5,22.631247685329907,2.9818898758020023
