,close,returns,herding
2026-02-10,273.68,-0.003422911659748,0.5
2026-02-11,275.5,0.0066501023092662,0.5
2026-02-09,274.62,-0.0125844959010499,0.4
2026-02-12,261.73,-0.0499818511796732,0.4
2026-02-17,263.88,0.0316678395496128,0.4
2026-02-18,264.35,0.0017811126269517,0.4
2026-02-19,260.58,-0.0142613958766787,0.4
2026-02-20,264.58,0.0153503722465269,0.4
2026-02-06,278.12,0.0080098582871226,0.3
2026-02-13,255.78,-0.0227333511634127,0.3
