,returns,volatility,volume_ratio,overreaction,herding,loss_aversion,disposition
returns,1.0,0.06346405949985849,-0.02392562299433278,0.014723011169937426,0.008494019614542988,-0.442897271513649,0.7557357202339504
volatility,0.06346405949985849,1.0,-0.07035645344663317,-0.2886088155123272,0.7279811299146278,-0.010842712331148063,0.10710320595842496
volume_ratio,-0.02392562299433278,-0.07035645344663317,1.0,-0.2510532189854247,-0.41214446233915575,0.10670135058732308,0.25013805964817376
overreaction,0.014723011169937426,-0.2886088155123272,-0.2510532189854247,1.0,-0.034160291850757064,-0.23935372105736566,0.03608882004995992
herding,0.008494019614542988,0.7279811299146278,-0.41214446233915575,-0.034160291850757064,1.0,0.01067175934574111,0.028276325934256122
loss_aversion,-0.442897271513649,-0.010842712331148063,0.10670135058732308,-0.23935372105736566,0.01067175934574111,1.0,-0.5240130543752876
disposition,0.7557357202339504,0.10710320595842496,0.25013805964817376,0.03608882004995992,0.028276325934256122,-0.5240130543752876,1.0
