,overreaction,herding,loss_aversion,disposition
count,98.0,32.0,88.0,80.0
mean,-0.0026801293387425404,0.15,0.03037037053021533,1.0621768094356452
std,0.006058177876690873,0.2063507818286384,0.28323301229993486,0.13617981388955058
min,-0.02559356701565722,-0.2,-0.561109836196492,0.8326217248357555
25%,0.0,0.0,0.0,0.9397551505584153
50%,0.0,0.1,0.0,1.0426343833760399
75%,0.0,0.325,0.0,1.1880984738274374
max,0.0,0.5,1.6645776467674152,1.2919685317306484
